city_original,city_chinese,admin_name_original,admin_name_chinese
Guangzhou,广州,Guangdong,粤
Shanghai,上海,Shanghai,上海
Beijing,北京,Beijing,北京
Shenzhen,深圳,Guangdong,粤
Chengdu,成都,Sichuan,四川
Xi’an,西安,Shaanxi,陕西
Chongqing,重庆,Chongqing,重庆
Baoding,保定,Hebei,河北
Linyi,临沂,Shandong,山东
Dongguan,东莞,Guangdong,粤
Tianjin,天津,Tianjin,天津
Wuhan,武汉,Hubei,湖北
Nanyang,南阳,Henan,河南
Hangzhou,杭州,Zhejiang,浙江
Foshan,佛山,Guangdong,粤
Tongshan,铜山,Jiangsu,江苏
Zhoukou,周口,Henan,河南
Ganzhou,赣州,Jiangxi,江西
Heze,菏泽,Shandong,山东
Quanzhou,泉州,Fujian,福建
Nanjing,南京,Jiangsu,江苏
Jining,济宁,Shandong,山东
Fuyang,富阳,Anhui,安徽
Shenyang,沉阳,Liaoning,辽宁
Shangqiu,商丘,Henan,河南
Cangzhou,沧州,Hebei,河北
Xingtai,邢台,Hebei,河北
Zhumadian,驻马店,Henan,河南
Zhanjiang,湛江,Guangdong,粤
Bijie,毕节,Guizhou,贵州
Yancheng,盐城,Jiangsu,江苏
Hengyang,衡阳,Hunan,湖南
Zunyi,遵义,Guizhou,贵州
Shaoyang,邵阳,Hunan,湖南
Shangrao,上饶,Jiangxi,江西
Xinyang,信阳,Henan,河南
Maoming,茂名,Guangdong,粤
Jieyang,揭阳,Guangdong,粤
Liaocheng,聊城,Shandong,山东
Huanggang,黄冈,Hubei,湖北
Dalian,大连,Liaoning,辽宁
Qingdao,青岛,Shandong,山东
Yulin,榆林,Guangxi,广西
Qujing,曲靖,Yunnan,云南
Nangandao,南甘岛,Henan,河南
Pudong,浦东,Shanghai,上海
Zhengzhou,郑州,Henan,河南
Dezhou,德州,Shandong,山东
Nanchong,南充,Sichuan,四川
Jinan,济南,Shandong,山东
Tai’an,泰安,Shandong,山东
Langfang,廊坊,Hebei,河北
Dazhou,达州,Sichuan,四川
Suzhou,苏州,Anhui,安徽
Yongzhou,永州,Hunan,湖南
Changde,常德,Hunan,湖南
Xiangyang,襄阳,Hubei,湖北
Zhaotong,昭通,Yunnan,云南
Zhangzhou,漳州,Fujian,福建
Yichun,宜春,Jiangxi,江西
Bozhou,亳州,Anhui,安徽
Suqian,宿迁,Jiangsu,江苏
Ji’an,吉安,Jiangxi,江西
Guilin,桂林,Guangxi,广西
Pingdingshan,平顶山,Henan,河南
Mianyang,绵阳,Sichuan,四川
Huanglongsi,黄龙寺,Henan,河南
Yuncheng,运城,Shanxi,山西
Changsha,长沙,Hunan,湖南
Weinan,渭南,Shaanxi,陕西
Chenzhou,郴州,Hunan,湖南
Jiangmen,江门,Guangdong,粤
Jiujiang,九江,Jiangxi,江西
Xinpu,新浦,Jiangsu,江苏
Yibin,宜宾,Sichuan,四川
Huaihua,怀化,Hunan,湖南
Yangzhou,扬州,Jiangsu,江苏
Taizhou,台州,Jiangsu,江苏
Kunming,昆明,Yunnan,云南
Yiyang,益阳,Hunan,湖南
Changchun,长春,Jilin,吉林
Lu’an,六安,Anhui,安徽
Jiangguanchi,江观池,Henan,河南
Meizhou,梅州,Guangdong,粤
Ürümqi,乌鲁木齐,Xinjiang,新疆
Suzhou,苏州,Jiangsu,江苏
Guigang,贵港,Guangxi,广西
Shantou,汕头,Guangdong,粤
Xiaoganzhan,孝感站,Hubei,湖北
Luzhou,泸州,Sichuan,四川
Hefei,合肥,Anhui,安徽
Hengshui,衡水,Hebei,河北
Anqing,安庆,Anhui,安徽
Liuzhou,柳州,Guangxi,广西
Zhangjiakou,张家口,Hebei,河北
Zhaoqing,肇庆,Guangdong,粤
Shijiazhuang,石家庄,Hebei,河北
Ningbo,宁波,Zhejiang,浙江
Qiqihar,齐齐哈尔,Heilongjiang,黑龙江
Fuzhou,福州,Jiangxi,江西
Chifeng,赤峰,Inner Mongolia,内蒙古
Xiaoxita,小西塔,Hubei,湖北
Chuzhou,滁州,Anhui,安徽
Linfen,临汾,Shanxi,山西
Qingyuan,清远,Guangdong,粤
Xianyang,咸阳,Shaanxi,陕西
Loudi,娄底,Hunan,湖南
Binzhou,滨州,Shandong,山东
Zhuzhou,株洲,Hunan,湖南
Taiyuan,太原,Shanxi,山西
Nanning,南宁,Guangxi,广西
Harbin,哈尔滨,Heilongjiang,黑龙江
Suihua,绥化,Heilongjiang,黑龙江
Zaozhuang,枣庄,Shandong,山东
Xiamen,厦门,Fujian,福建
Neijiang,内江,Sichuan,四川
Fuzhou,福州,Fujian,福建
Baicheng,白城,Guangxi,广西
Wuhu,芜湖,Anhui,安徽
Yulinshi,榆林市,Shaanxi,陕西
Wenzhou,温州,Zhejiang,浙江
Changzhou,常州,Jiangsu,江苏
Puyang,濮阳,Henan,河南
Jiaozuo,焦作,Henan,河南
Nanchang,南昌,Jiangxi,江西
Deyang,德阳,Sichuan,四川
Hohhot,呼和浩特,Inner Mongolia,内蒙古
Hechi,河池,Guangxi,广西
Tangshan,唐山,Hebei,河北
Shiyan,十堰,Hubei,湖北
Anshan,鞍山,Liaoning,辽宁
Baojishi,宝积石,Shaanxi,陕西
Qinzhou,钦州,Guangxi,广西
Guiyang,贵阳,Guizhou,贵州
Bengbu,蚌埠,Anhui,安徽
Bazhou,霸州,Sichuan,四川
Suining,遂宁,Sichuan,四川
Wuxi,无锡,Jiangsu,江苏
Hanzhong,汉中,Shaanxi,陕西
