City_en,City_zh
Aberdeen,香港仔
Admiralty,金钟
Aldrich Bay,爱秩序湾
Aldrich Garden,爱秩序花园
Ap Lei Chau Estate,鸭脷洲村
Aqua Marine,海洋之水
Baguio Villa,碧瑶湾
Banyan Garden,榕树花园
Bedford Garden,贝德福花园
Braemar Hill Mansions,宝马山大厦
Braemar Hill,宝马山
Broadview Court,伟景阁
Butterfly,蝴蝶
Causeway Bay,铜锣湾
Celestial Heights,半山壹号
Central,中央
Chai Wan Estate,柴湾村
Chak On Estate,泽安村
Charming Garden,迷人花园
Che Ha,车哈
Cheerful Garden,欢乐花园
Chek Chue,赤珠
Cheung Chau,长洲
Cheung Sha Wan Estate,长沙湾村
Cheung Sha Wan,长沙湾
Chi Fu Fa Yuen,置富花园
Choi Fai Estate,彩辉村
Choi Hung Estate,彩虹村
Choi Hung,彩虹
Choi Wan Estate (I & II),彩云村(I及II)
Choi Wan,彩云
Chong Chien Court - Wyler Gardens,崇建阁 - 惠兰花园
Chuk Yuen North Estate,竹园北村
Chuk Yuen South Estate,竹园南村
Chuk Yuen,竹园
Chun Man Court,俊文阁
City Garden,城市花园
City One,一城
Cosmopolitan Estate,大都会庄园
Cullinan West,库里南·韦斯特
Discovery Bay,愉景湾
Discovery Park,愉景新城
Fairview Park,锦绣花园
Fanling,粉岭
Fo Tan,火炭
Fortress Garden,富泽花园
Fortress Hill,炮台山
Fortune Estate,财富庄园
Fu Cheong Estate,富昌村
Fu Keung Court,富强苑
Fu Shan Estate,富山村
Fuk Loi,福来
Fullview Garden,富景花园
Fung Tak Estate,凤德村
Fung Wah Estate,风华村
Galaxia,星河
Grand Promenade,嘉亨湾
Grand View Garden,大观园
Grand Waterfront,格兰德海滨
Greenwood Terrace,翠林台
Ha Tsuen,下村
Hang Hau,坑口
Happy Valley,欢乐谷
Harbour Green,格林港
Harbour Place,港湾广场
Harmony Garden,和谐花园
Healthy Gardens,健康花园
Healthy Village,健康村
Heng Fa Chuen,杏花村
Hing Man Estate,兴民村
Hing Tung Estate,兴东村
Hing Wah Estate (I & II),兴华村(一、二)
Ho Man Tin Estate,何文田村
Ho Man Tin,何文田
Hoi Fu Court,海富苑
Hoi Lai Estate,海丽村
Hoi Lok Court,海乐苑
Hoi Tat Estate,海达村
Hoi Ying Estate,海盈村
Hok Yuen,鹤园
Hong Kong Island,香港岛
Hong Kong,香港
