City_en,City_zh
Guangzhou,广州
Shanghai,上海
Beijing,北京
Shenzhen,深圳
Chengdu,成都
Xi’an,西安
Chongqing,重庆
Baoding,保定
Linyi,临沂
Dongguan,东莞
Tianjin,天津
Wuhan,武汉
Nanyang,南阳
Hangzhou,杭州
Foshan,佛山
Tongshan,铜山
Zhoukou,周口
Ganzhou,赣州
Heze,菏泽
Quanzhou,泉州
Nanjing,南京
Jining,济宁
Fuyang,富阳
Shenyang,沉阳
Shangqiu,商丘
Cangzhou,沧州
Xingtai,邢台
Zhumadian,驻马店
Zhanjiang,湛江
Bijie,毕节
Yancheng,盐城
Hengyang,衡阳
Zunyi,遵义
Shaoyang,邵阳
Shangrao,上饶
Xinyang,信阳
Maoming,茂名
Jieyang,揭阳
Liaocheng,聊城
Huanggang,黄冈
Dalian,大连
Qingdao,青岛
Yulin,榆林
Qujing,曲靖
Nangandao,南甘岛
Pudong,浦东
Zhengzhou,郑州
Dezhou,德州
Nanchong,南充
Jinan,济南
Tai’an,泰安
Langfang,廊坊
Dazhou,达州
Suzhou,苏州
Yongzhou,永州
Changde,常德
Xiangyang,襄阳
Zhaotong,昭通
Zhangzhou,漳州
Yichun,宜春
Bozhou,亳州
Suqian,宿迁
Ji’an,吉安
Guilin,桂林
Pingdingshan,平顶山
Mianyang,绵阳
Huanglongsi,黄龙寺
Yuncheng,运城
Changsha,长沙
Weinan,渭南
Chenzhou,郴州
Jiangmen,江门
Jiujiang,九江
Xinpu,新浦
Yibin,宜宾
Huaihua,怀化
Yangzhou,扬州
Taizhou,台州
Kunming,昆明
Yiyang,益阳
Changchun,长春
Lu’an,六安
Jiangguanchi,江观池
Meizhou,梅州
Ürümqi,乌鲁木齐
Suzhou,苏州
Guigang,贵港
Shantou,汕头
Xiaoganzhan,孝感站
Luzhou,泸州
Hefei,合肥
Hengshui,衡水
Anqing,安庆
Liuzhou,柳州
Zhangjiakou,张家口
Zhaoqing,肇庆
Shijiazhuang,石家庄
Ningbo,宁波
Qiqihar,齐齐哈尔
Fuzhou,福州
Chifeng,赤峰
Xiaoxita,小西塔
Chuzhou,滁州
Linfen,临汾
Qingyuan,清远
Xianyang,咸阳
Loudi,娄底
Binzhou,滨州
Zhuzhou,株洲
Taiyuan,太原
Nanning,南宁
Harbin,哈尔滨
Suihua,绥化
Zaozhuang,枣庄
Xiamen,厦门
Neijiang,内江
Fuzhou,福州
Baicheng,白城
Wuhu,芜湖
Yulinshi,榆林市
Wenzhou,温州
Changzhou,常州
Puyang,濮阳
Jiaozuo,焦作
Nanchang,南昌
Deyang,德阳
Hohhot,呼和浩特
Hechi,河池
Tangshan,唐山
Shiyan,十堰
Anshan,鞍山
Baojishi,宝积石
Qinzhou,钦州
Guiyang,贵阳
Bengbu,蚌埠
Bazhou,霸州
Suining,遂宁
Wuxi,无锡
Hanzhong,汉中
Putian,莆田
Zhenjiang,镇江
Guang’an,广安
Changzhi,长治
Tongren,铜仁
Leshan,乐山
Qinhuangdao,秦皇岛
Xinzhou,新洲
Lanzhou,兰州
Wuzhou,梧州
Huainan,淮南
Qincheng,秦城
Rizhao,日照
Meishan,梅山
Ningde,宁德
Zhongshan,中山
Weihai,威海
Haikou,海口
Tongliao,通辽
Chaoyang,朝阳
Shaoguan,韶关
Heyuan,河源
Daqing,大庆
Xiangtan,湘潭
Longyan,龙岩
Baotou,包头
Handan,邯郸
Jinzhou,锦州
Nanping,南平
Shanwei,汕尾
Chaozhou,潮州
Weifang,潍坊
Huai’an,淮安
Zibo,淄博
Ankang,安康
Gulou,鼓楼
Sanming,三明
Yangjiang,阳江
Jiamusi,佳木斯
Luohe,漯河
Dingxi,定西
Shaoxing,绍兴
Yantai,烟台
Huizhou,惠州
Lishui,丽水
Xuanzhou,宣州
Zigong,自贡
Guangyuan,广元
Huangshi,黄石
Xining,西宁
Zhuhai,珠海
Huludao,葫芦岛
Baoshan,宝山
Lianshan,连山
Longba,龙坝
Jilin,吉林
Tieling,铁岭
Yunfu,云浮
Luoyang,洛阳
Anshun,安顺
Yingkou,营口
Yanjiang,沿江
Mudanjiang,牡丹江
Yan’an,延安
Jincheng,晋城
Nantong,南通
Lincang,临沧
Yuxi,玉溪
Laibin,来宾
Shengli,胜利
Dandong,丹东
Qinbaling,秦巴岭
Gaoping,高平
Taizhou,台州
Ma’anshan,马鞍山
Puning,普宁
Huaibei,淮北
Chongzuo,崇左
Yushan,玉山
Hezhou,贺州
Pingliang,平凉
Qingyang,庆阳
Shangzhou,商州
Sanmenxia,三门峡
Baicheng,白城
Pingxiang,凭祥
Yinchuan,银川
Xiping,西平
Jixi,鸡西
Fushun,抚顺
Beihai,北海
Fuxin,阜新
Wuwei,武威
Siping,四平
Shuyangzha,沭阳闸
Shuozhou,朔州
Sanzhou,三洲
Changshu,常熟
Heihe,黑河
Ximeicun,西梅村
Jingdezhen,景德镇
Liaoyang,辽阳
Chengtangcun,城塘村
Jiangyin,江阴
Hebi,鹤壁
Huzhou,湖州
Jiaxing,嘉兴
Zhangjiajie,张家界
Baiyin,白银
Guiping,桂平
Lianjiang,廉江
Jianguang,剑光
Yucheng,玉城
Xushan,徐山
Leizhou,雷州
Huazhou,化州
Jinhua,金华
Pizhou,邳州
Yangshe,杨舍
Rui’an,瑞安
Wenling,温岭
Gaozhou,高州
Fuqing,福清
Wuzhong,吴忠
Pingdu,平度
Yangquan,阳泉
Yutan,玉潭
Chizhou,池州
Liangshi,良时
Huangshan,黄山
Benxi,本溪
Xintai,新泰
Wusong,吴淞
Yushu,玉树
Kuaidamao,快大猫
Huazhou,化州
Baishan,白山
Haicheng,海城
Yicheng,宜城
Rucheng,汝城
Huaiyin,淮阴
Dayan,大研
Shaoyang,邵阳
Laiwu,莱芜
Jingling,荆陵
Yongcheng,永城
Yiwu,义乌
Beidao,北岛
Xiangshui,响水
Dadukou,大渡口
Lingcheng,陵城
Shuangyashan,双鸭山
Xinyu,新宇
Zhangye,张掖
Rongcheng,荣成
Liaoyuan,辽源
Guankou,灌口
Lianyuan,涟源
Rongcheng,荣成
Kaiyuan,开元
Zhuji,诸暨
Yingtan,鹰潭
Leiyang,耒阳
Yichun,宜春
Guyuan,固原
Xiantao,仙桃
Yingchuan,颍川
Dongtai,东台
Dingzhou,定州
Xibeijie,西北街西北街
Yuyao,余姚
Hanchuan,汉川
Gongzhuling,公主岭
Zhufeng,珠峰
Ezhou,鄂州
Xiashi,霞石
Zhongwei,中卫
Mizhou,密州
Xishan,西山
Hegang,鹤岗
Fangchenggang,防城港
Jiancheng,建成
Shouguang,寿光
Sanya,三亚
Wutong,梧桐
Linhai,临海
Wafangdian,瓦房店
Zhongxiang,忠祥
Xinyi,信义
Zaoyang,枣阳
Xingyi,兴义
Shuizhai,水寨
Zhangjiakou Shi Xuanhua Qu,张家口市宣化区
Lianhu,莲湖
Binhu,滨湖
Hongkou,虹口
Wulaocun,五老村
Changning,长宁
Xixiangtang,西乡堂
Dayingmen,大营门
Wuma,五马
Yanping,延平
Chaowai,朝外
Liuxiang,刘翔
Changhongjie,长虹街
Yangpu,杨浦
Zhangyelu,张掖路
Jinrongjie,金荣街
Huancuilou,环翠楼
Weiyang,未央
Meiyuan Xincun,梅园新村
Dongtundu,东屯渡
Sanjiang,三江
Dongjie,东街
Haidian,海淀
Nanchansi,南禅寺
Xinluoqu,新螺区
Daoli,道里
Gulou,鼓楼
Xuhui,徐汇
Xihu,西湖
Xiaobailou,小白楼
Nangang,南港
Pingjianglu,平江路
Chong’ansi,崇安寺
Xincheng,新城
Luwan,卢湾
Chengzhong,城中
