city,admin_name
广州,广东省
上海,上海
北京,北京
深圳,粤
成都,四川
西安,陕西
重庆,重庆
保定,河北
临沂,山东
东莞,粤
天津,天津
武汉,湖北
南阳,河南
杭州,浙江省
佛山,粤
铜山,江苏
周口,河南
赣州,江西
菏泽,山东
泉州,福建
南京,江苏
济宁,山东
富阳,安徽
沉阳,辽宁
商丘,河南
沧州,河北
邢台,河北
驻马店,河南
湛江,粤
毕节,贵州
盐城,江苏
衡阳,湖南
遵义,贵州
邵阳,湖南
上饶,江西
信阳,河南
茂名,粤
揭阳,粤
聊城,山东
黄冈,湖北
大连,辽宁
青岛,山东
榆林,广西
曲靖,云南
南甘岛,河南
浦东,上海
郑州,河南
德州,山东
南充,四川
济南,山东
泰安,山东
廊坊,河北
达州,四川
苏州,Anhui
永州,湖南
常德,湖南
襄阳,湖北
昭通,云南
漳州,福建
宜春,江西
亳州,安徽
宿迁,江苏
吉安,江西
桂林,Guangxi
平顶山,河南
绵阳,四川
黄龙寺,河南
运城,Shanxi
长沙,湖南
渭南,Shaanxi
郴州,湖南
江门,粤
九江,江西
新浦,江苏
宜宾,四川
怀化,Hunan
扬州,Jiangsu
台州,江苏
昆明,云南
益阳,湖南
长春,吉林
六安,安徽
江观池,河南
梅州,粤
乌鲁木齐,新疆
苏州,Jiangsu
贵港,广西
汕头,粤
孝感站,湖北
泸州,四川
合肥,安徽
衡水,河北
安庆,安徽
柳州,广西
张家口,河北
肇庆,粤
石家庄,河北
宁波,浙江
齐齐哈尔,黑龙江
福州,江西
赤峰,内蒙古
小西塔,湖北
滁州,安徽
临汾,Shanxi
清远,Guangdong
咸阳,Shaanxi
娄底,湖南
滨州,山东
株洲,Hunan
太原,Shanxi
南宁,广西
哈尔滨,黑龙江
绥化,黑龙江
枣庄,山东
厦门,福建
内江,Sichuan
福州,福建
白城,广西
芜湖,安徽
榆林市,陕西
温州,浙江
常州,江苏
濮阳,河南
焦作,河南
南昌,江西
德阳,Sichuan
呼和浩特,内蒙古
河池,Guangxi
唐山,河北
十堰,湖北
鞍山,Liaoning
宝积石,陕西
钦州,广西
贵阳,贵州
蚌埠,安徽
霸州,四川
遂宁,四川
无锡,江苏
汉中,陕西
莆田,福建
镇江,Jiangsu
广安,四川
长治,山西
铜仁,Guizhou
乐山,四川
秦皇岛,河北
新洲,山西
兰州,甘肃
梧州,广西
淮南,安徽
秦城,甘肃
日照,山东
梅山,四川
宁德,福建
中山,粤
威海,山东
海口,海南
通辽,内蒙古
朝阳,辽宁
韶关,粤
河源,粤
大庆,黑龙江
湘潭,湖南
龙岩,Fujian
包头,内蒙古
邯郸,Hebei
锦州,辽宁
南平,福建
汕尾,粤
潮州,Guangdong
潍坊,山东
淮安,江苏
淄博,山东
安康,陕西
鼓楼,福建
三明,福建
阳江,粤
佳木斯,黑龙江
漯河,河南
定西,甘肃
绍兴,浙江
烟台,山东
惠州,粤
丽水,浙江
宣州,安徽
自贡,四川
广元,四川
黄石,Hubei
西宁,青海
珠海,粤
葫芦岛,辽宁
宝山,Yunnan
